metric,metric_group,budget,budget_tokens,model,group_seed_count,non_missing_seed_count,missing_seed_count,is_primary_metric,mean,std,standard_error,ci95_low,ci95_high,median,min,max,q25,q75,iqr
expert_bias_mean,routing,25m,25000000,mla_121m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,25m,25000000,mtp_121m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,25m,25000000,moe_220m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,25m,25000000,mla_moe_220m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,25m,25000000,v3_routing_220m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,50m,50000000,dense_121m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,50m,50000000,mla_121m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,50m,50000000,mtp_121m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,50m,50000000,moe_220m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,50m,50000000,mla_moe_220m,10,0,10,False,,,,,,,,,,,
expert_bias_mean,routing,50m,50000000,v3_routing_220m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,10m,10000000,dense_121m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,10m,10000000,mla_121m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,10m,10000000,mtp_121m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,10m,10000000,moe_220m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,10m,10000000,mla_moe_220m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,10m,10000000,v3_routing_220m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,25m,25000000,dense_121m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,25m,25000000,mla_121m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,25m,25000000,mtp_121m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,25m,25000000,moe_220m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,25m,25000000,mla_moe_220m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,25m,25000000,v3_routing_220m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,50m,50000000,dense_121m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,50m,50000000,mla_121m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,50m,50000000,mtp_121m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,50m,50000000,moe_220m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,50m,50000000,mla_moe_220m,10,0,10,False,,,,,,,,,,,
expert_bias_std,routing,50m,50000000,v3_routing_220m,10,0,10,False,,,,,,,,,,,
final_aux_loss,optimization,10m,10000000,dense_121m,10,0,10,False,,,,,,,,,,,
final_aux_loss,optimization,10m,10000000,mla_121m,10,0,10,False,,,,,,,,,,,
final_aux_loss,optimization,10m,10000000,mtp_121m,10,0,10,False,,,,,,,,,,,
final_aux_loss,optimization,10m,10000000,moe_220m,10,10,0,False,0.12207202464342118,0.0006544557163487522,0.00020695706913791525,0.12160385522709097,0.12254019405975139,0.12199296802282333,0.12129168957471848,0.1234510987997055,0.12156615033745766,0.12237385660409927,0.0008077062666416168
final_aux_loss,optimization,10m,10000000,mla_moe_220m,10,10,0,False,0.12214449420571327,0.00046169596158127286,0.00014600108250984175,0.1218142168111457,0.12247477160028085,0.12201697751879692,0.12163673341274261,0.122934989631176,0.12175889499485493,0.12250477075576782,0.0007458757609128952
final_aux_loss,optimization,10m,10000000,v3_routing_220m,10,10,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final_aux_loss,optimization,25m,25000000,dense_121m,10,0,10,False,,,,,,,,,,,
final_aux_loss,optimization,25m,25000000,mla_121m,10,0,10,False,,,,,,,,,,,
final_aux_loss,optimization,25m,25000000,mtp_121m,10,0,10,False,,,,,,,,,,,
final_aux_loss,optimization,25m,25000000,moe_220m,10,10,0,False,0.12186619192361832,0.0004709036432186282,0.0001489128071042169,0.12152932775040365,0.12220305609683299,0.1217568889260292,0.1213209331035614,0.12256792187690735,0.12143878266215324,0.12232513539493084,0.0008863527327775955
final_aux_loss,optimization,25m,25000000,mla_moe_220m,10,10,0,False,0.1218333326280117,0.0006054635108168729,0.0001914643734303313,0.12140021012424657,0.12226645513177684,0.1217595562338829,0.12108096480369568,0.12321703135967255,0.12145174294710159,0.12197357043623924,0.0005218274891376495
final_aux_loss,optimization,25m,25000000,v3_routing_220m,10,10,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final_aux_loss,optimization,50m,50000000,dense_121m,10,0,10,False,,,,,,,,,,,
final_aux_loss,optimization,50m,50000000,mla_121m,10,0,10,False,,,,,,,,,,,
final_aux_loss,optimization,50m,50000000,mtp_121m,10,0,10,False,,,,,,,,,,,
final_aux_loss,optimization,50m,50000000,moe_220m,10,10,0,False,0.12118193209171295,0.00033956608030929184,0.00010738022299130154,0.12093902115113644,0.12142484303228945,0.12113400548696518,0.1207607239484787,0.12200099229812622,0.12101766280829906,0.1211806870996952,0.00016302429139614105
final_aux_loss,optimization,50m,50000000,mla_moe_220m,10,10,0,False,0.12134130597114563,0.0003093768043673874,9.783353570252723e-05,0.12111999113759989,0.12156262080469138,0.12124654278159142,0.12102862447500229,0.12188736349344254,0.12108805030584335,0.12154656834900379,0.00045851804316043854
final_aux_loss,optimization,50m,50000000,v3_routing_220m,10,10,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lm_loss,optimization,10m,10000000,dense_121m,10,10,0,False,5.0202264308929445,0.15589870361276545,0.049299498768385956,4.9087032166345,5.131749645151389,5.067473411560059,4.760186672210693,5.212094783782959,4.882511734962463,5.127435088157654,0.24492335319519043
lm_loss,optimization,10m,10000000,mla_121m,10,10,0,False,5.044100761413574,0.18250164673072947,0.05771208804005273,4.91354694807703,5.174654574750118,5.038357496261597,4.772636413574219,5.314332008361816,4.888896226882935,5.2013455629348755,0.3124493360519409
lm_loss,optimization,10m,10000000,mtp_121m,10,10,0,False,4.998446941375732,0.15977810762496603,0.0505262740326409,4.88414856866618,5.112745314085285,5.011975049972534,4.751641273498535,5.234853267669678,4.882624864578247,5.11231541633606,0.2296905517578125
lm_loss,optimization,10m,10000000,moe_220m,10,10,0,False,4.956541395187378,0.1662699495217881,0.05257917469300746,4.837599038544581,5.075483751830174,4.994378566741943,4.666083812713623,5.1424713134765625,4.821992635726929,5.106807351112366,0.284814715385437
lm_loss,optimization,10m,10000000,mla_moe_220m,10,10,0,False,5.0029520988464355,0.15107708277988754,0.04777476838382473,4.894878064348674,5.111026133344197,5.068974018096924,4.741405010223389,5.181750774383545,4.877451539039612,5.10376501083374,0.22631347179412842
lm_loss,optimization,10m,10000000,v3_routing_220m,10,10,0,False,4.962110185623169,0.16119750634225188,0.05097512731809537,4.846796436238906,5.077423935007433,4.996932744979858,4.6898980140686035,5.193730354309082,4.8345736265182495,5.060356974601746,0.2257833480834961
lm_loss,optimization,25m,25000000,dense_121m,10,10,0,False,4.619069194793701,0.19522136960460273,0.061734417588810944,4.479416239857529,4.758722149729873,4.616611957550049,4.319053649902344,4.912210464477539,4.5138328075408936,4.770108461380005,0.25627565383911133
lm_loss,optimization,25m,25000000,mla_121m,10,10,0,False,4.677301454544067,0.18000433862530624,0.056922369876819,4.548534107807029,4.806068801281105,4.690557479858398,4.399806022644043,4.953968048095703,4.566040396690369,4.813254475593567,0.24721407890319824
lm_loss,optimization,25m,25000000,mtp_121m,10,10,0,False,4.612645673751831,0.1792942530979992,0.05669782111683781,4.484386291600568,4.740905055903093,4.619427919387817,4.308104038238525,4.851064205169678,4.511972665786743,4.75785505771637,0.24588239192962646
lm_loss,optimization,25m,25000000,moe_220m,10,10,0,False,4.6229567527771,0.18768222488814973,0.05935033069744937,4.488696977078818,4.757216528475381,4.633471250534058,4.336154937744141,4.922764778137207,4.5339027643203735,4.753029465675354,0.21912670135498047
lm_loss,optimization,25m,25000000,mla_moe_220m,10,10,0,False,4.65458664894104,0.19572523569631328,0.06189375403736421,4.514573249916487,4.794600047965592,4.679399013519287,4.3401947021484375,4.939309597015381,4.542048215866089,4.77481210231781,0.2327638864517212
lm_loss,optimization,25m,25000000,v3_routing_220m,10,10,0,False,4.602771759033203,0.18361323867498638,0.05806360427730741,4.471422760722733,4.734120757343673,4.608328819274902,4.326218128204346,4.852590560913086,4.50157904624939,4.758385896682739,0.2568068504333496
lm_loss,optimization,50m,50000000,dense_121m,10,10,0,False,4.540519714355469,0.20679121327384725,0.0653931234055002,4.392590191849711,4.688449236861227,4.515610218048096,4.18446159362793,4.817912578582764,4.433498024940491,4.694680690765381,0.26118266582489014
lm_loss,optimization,50m,50000000,mla_121m,10,10,0,False,4.596685934066772,0.18839992968809424,0.059577288882995384,4.461912743283415,4.731459124850129,4.599862813949585,4.279387474060059,4.830804347991943,4.484267711639404,4.756192207336426,0.2719244956970215
lm_loss,optimization,50m,50000000,mtp_121m,10,10,0,False,4.524714088439941,0.1995213926970213,0.06309420428514728,4.3819850822888515,4.667443094591031,4.528438329696655,4.180447101593018,4.765608787536621,4.432232975959778,4.694135546684265,0.2619025707244873
lm_loss,optimization,50m,50000000,moe_220m,10,10,0,False,4.5113402843475345,0.20766384195909177,0.06566907282519728,4.362786520885455,4.6598940478096145,4.483053922653198,4.148901462554932,4.792971611022949,4.400134325027466,4.658010363578796,0.25787603855133057
lm_loss,optimization,50m,50000000,mla_moe_220m,10,10,0,False,4.552840232849121,0.18731265820449516,0.05923346345068303,4.418844829230202,4.68683563646804,4.565815210342407,4.25002384185791,4.802031993865967,4.446375608444214,4.689852833747864,0.2434772253036499
lm_loss,optimization,50m,50000000,v3_routing_220m,10,10,0,False,4.519783067703247,0.190214645579868,0.06015115243540625,4.383711707374367,4.655854428032127,4.49223256111145,4.213029861450195,4.75701379776001,4.422340273857117,4.701688885688782,0.27934861183166504
mean_aux_loss,routing,10m,10000000,dense_121m,10,0,10,False,,,,,,,,,,,
mean_aux_loss,routing,10m,10000000,mla_121m,10,0,10,False,,,,,,,,,,,
mean_aux_loss,routing,10m,10000000,mtp_121m,10,0,10,False,,,,,,,,,,,
mean_aux_loss,routing,10m,10000000,moe_220m,10,10,0,False,0.010058350342224107,9.499632497014543e-06,3.0040475625118645e-06,0.010051554714513357,0.010065145969934857,0.010060986740934062,0.010044950556015628,0.01007213354209217,0.010049512498430661,0.010063192792625365,1.368029419470361e-05
mean_aux_loss,routing,10m,10000000,mla_moe_220m,10,10,0,False,0.010053555162755846,1.2773255528967675e-05,4.039258060687671e-06,0.010044417726201701,0.01006269259930999,0.010051805334823055,0.010034488288334906,0.010073821459145621,0.010044164680847577,0.010063682588135192,1.9517907287614975e-05
mean_aux_loss,routing,10m,10000000,v3_routing_220m,10,10,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_aux_loss,routing,25m,25000000,dense_121m,10,0,10,False,,,,,,,,,,,
mean_aux_loss,routing,25m,25000000,mla_121m,10,0,10,False,,,,,,,,,,,
mean_aux_loss,routing,25m,25000000,mtp_121m,10,0,10,False,,,,,,,,,,,
mean_aux_loss,routing,25m,25000000,moe_220m,10,10,0,False,0.010036166993438586,9.3863829794668e-06,2.968234920575257e-06,0.01002945237955231,0.010042881607324862,0.010033261477826006,0.010025387893445143,0.010053319731794534,0.010029355890591694,0.010043357906507067,1.4002015915372257e-05
