metric,metric_group,metric_direction,budget,contrast_id,contrast_family,model_a,model_b,interpretation,pair_count,model_a_mean,model_b_mean,mean_difference_model_b_minus_model_a,median_difference_model_b_minus_model_a,relative_change_percent,std_difference,standard_error_difference,paired_t_ci95_low,paired_t_ci95_high,bootstrap_reps,bootstrap_ci95_low,bootstrap_ci95_high,min_difference,max_difference,paired_cohens_dz,model_b_better_seed_count,model_a_better_seed_count,tie_seed_count,model_b_better_seed_fraction,exact_sign_flip_p_value,holm_p_by_metric_budget,holm_p_by_metric_all_budgets,holm_p_by_metric_group_budget
train_loss,optimization,lower_is_better,50m,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,Supporting comparison for combined MLA plus MoE relative to dense baseline.,10,4.250305151939392,4.581522035598755,0.3312168836593628,0.3313484191894531,7.792778913961749,0.03631890071681842,0.011485044837866821,0.30523590721498095,0.35719786010374466,20000,0.3095022916793823,0.3517980813980103,0.26619577407836914,0.3820679187774658,9.119683611623854,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
train_loss,optimization,lower_is_better,50m,mla_moe_vs_mla,composition_mechanism,mla_121m,mla_moe_220m,Effect of adding MoE capacity on top of MLA.,10,4.4685547828674315,4.581522035598755,0.11296725273132324,0.09824967384338379,2.528048960358346,0.039591532390206234,0.012519941840938197,0.08464517661874427,0.14128932884390222,20000,0.09080452919006347,0.13718757629394532,0.06041097640991211,0.17481470108032227,2.853318523211998,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
train_loss,optimization,lower_is_better,50m,mla_moe_vs_moe,composition_mechanism,moe_220m,mla_moe_220m,Effect of adding MLA attention inside the MoE setting.,10,4.33294448852539,4.581522035598755,0.24857754707336427,0.24028682708740234,5.736919725873558,0.04887884567690441,0.015456848173889258,0.21361172726340066,0.2835433668833279,20000,0.22021560668945311,0.2776638984680176,0.17978620529174805,0.33037328720092773,5.085585464036825,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
train_loss,optimization,lower_is_better,50m,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,Effect of V3-style routing relative to standard MoE.,10,4.33294448852539,4.231369972229004,-0.10157451629638672,-0.10334086418151855,-2.3442376556029934,0.027055228756442645,0.00855561454872437,-0.12092866102943459,-0.08222037156333886,20000,-0.11525654792785645,-0.08364908695220948,-0.12869787216186523,-0.03399848937988281,-3.7543395848094185,10,0,0,1.0,0.001953125,0.013671875,0.041015625,0.02734375
train_loss,optimization,lower_is_better,50m,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,Effect of MTP objective relative to next-token-only dense baseline.,10,4.250305151939392,5.776870965957642,1.5265658140182494,1.5096848011016846,35.91661679448323,0.09377701836845205,0.029654897022375566,1.459481776308736,1.5936498517277629,20000,1.4722454309463502,1.5816642761230468,1.3975558280944824,1.674363136291504,16.278677234334083,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
lm_loss,optimization,lower_is_better,10m,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,Effect of MLA attention relative to dense baseline.,10,4.783436632156372,5.040516805648804,0.2570801734924316,0.24435734748840332,5.374382337673823,0.0491607469340115,0.01554599317866157,0.22191269367139976,0.2922476533134635,20000,0.22889862060546876,0.286668586730957,0.17568635940551758,0.33096837997436523,5.229378915611484,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
lm_loss,optimization,lower_is_better,10m,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,Effect of sparse MoE capacity relative to dense baseline.,10,4.783436632156372,4.722819375991821,-0.060617256164550784,-0.06074118614196777,-1.2672323441488664,0.03299710334701306,0.010434600276452665,-0.08422196192026732,-0.037012550408834256,20000,-0.08063230514526368,-0.0418184757232666,-0.12572860717773438,-0.02135467529296875,-1.837047801653109,10,0,0,1.0,0.001953125,0.013671875,0.041015625,0.02734375
lm_loss,optimization,lower_is_better,10m,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,Supporting comparison for combined MLA plus MoE relative to dense baseline.,10,4.783436632156372,5.019723129272461,0.23628649711608887,0.2411975860595703,4.939680720920745,0.048058333468833224,0.015197379431341362,0.2019076363805874,0.27066535785159035,20000,0.20750141143798828,0.2633784294128418,0.14868545532226562,0.28836917877197266,4.91666023478166,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
lm_loss,optimization,lower_is_better,10m,mla_moe_vs_mla,composition_mechanism,mla_121m,mla_moe_220m,Effect of adding MoE capacity on top of MLA.,10,5.040516805648804,5.019723129272461,-0.020793676376342773,-0.022583961486816406,-0.4125306427515473,0.025763507293301735,0.008147136356119317,-0.039223779240165624,-0.0023635735125199196,20000,-0.03462972640991211,-0.0047454357147216795,-0.05454301834106445,0.036388397216796875,-0.8070980452940477,8,2,0,0.8,0.0390625,0.078125,0.3125,0.078125
lm_loss,optimization,lower_is_better,10m,mla_moe_vs_moe,composition_mechanism,moe_220m,mla_moe_220m,Effect of adding MLA attention inside the MoE setting.,10,4.722819375991821,5.019723129272461,0.29690375328063967,0.3194565773010254,6.28657862271703,0.06618658427936468,0.020930035686948657,0.2495567231349842,0.3442507834262951,20000,0.2562555313110352,0.3337984561920166,0.1767263412475586,0.3785362243652344,4.48586003513112,0,10,0,0.0,0.001953125,0.013671875,0.041015625,0.02734375
