metric,metric_group,metric_direction,budget,seed,model,value
validation_loss,quality,lower_is_better,50m,11213,mtp_121m,4.389464988708496
validation_loss,quality,lower_is_better,50m,11213,moe_220m,4.380976192951202
validation_loss,quality,lower_is_better,50m,11213,mla_moe_220m,4.427776000499725
validation_loss,quality,lower_is_better,50m,11213,v3_routing_220m,4.385808789730072
validation_loss,quality,lower_is_better,50m,12721,dense_121m,4.422677891254425
validation_loss,quality,lower_is_better,50m,12721,mla_121m,4.471390347480774
validation_loss,quality,lower_is_better,50m,12721,mtp_121m,4.406814534664154
validation_loss,quality,lower_is_better,50m,12721,moe_220m,4.388684496879578
validation_loss,quality,lower_is_better,50m,12721,mla_moe_220m,4.443242726325988
validation_loss,quality,lower_is_better,50m,12721,v3_routing_220m,4.389738433361053
test_loss,quality,lower_is_better,10m,1337,dense_121m,4.98093719959259
test_loss,quality,lower_is_better,10m,1337,mla_121m,5.057644391059876
test_loss,quality,lower_is_better,10m,1337,mtp_121m,4.984927258491516
test_loss,quality,lower_is_better,10m,1337,moe_220m,4.9556202220916745
test_loss,quality,lower_is_better,10m,1337,mla_moe_220m,4.975300846099853
test_loss,quality,lower_is_better,10m,1337,v3_routing_220m,4.92473473072052
test_loss,quality,lower_is_better,10m,2027,dense_121m,5.01153522491455
test_loss,quality,lower_is_better,10m,2027,mla_121m,5.060748615264893
test_loss,quality,lower_is_better,10m,2027,mtp_121m,5.022641386985779
test_loss,quality,lower_is_better,10m,2027,moe_220m,4.942556142807007
test_loss,quality,lower_is_better,10m,2027,mla_moe_220m,4.994600296020508
test_loss,quality,lower_is_better,10m,2027,v3_routing_220m,4.94677966594696
test_loss,quality,lower_is_better,10m,31415,dense_121m,4.981083612442017
test_loss,quality,lower_is_better,10m,31415,mla_121m,5.055389552116394
test_loss,quality,lower_is_better,10m,31415,mtp_121m,5.029318642616272
test_loss,quality,lower_is_better,10m,31415,moe_220m,4.937805209159851
test_loss,quality,lower_is_better,10m,31415,mla_moe_220m,5.010563569068909
test_loss,quality,lower_is_better,10m,31415,v3_routing_220m,4.938903489112854
test_loss,quality,lower_is_better,10m,4441,dense_121m,4.982637810707092
test_loss,quality,lower_is_better,10m,4441,mla_121m,5.006461253166199
test_loss,quality,lower_is_better,10m,4441,mtp_121m,5.009028248786926
test_loss,quality,lower_is_better,10m,4441,moe_220m,4.9590047836303714
test_loss,quality,lower_is_better,10m,4441,mla_moe_220m,4.976225805282593
test_loss,quality,lower_is_better,10m,4441,v3_routing_220m,4.964154543876648
test_loss,quality,lower_is_better,10m,5501,dense_121m,5.0108515787124634
test_loss,quality,lower_is_better,10m,5501,mla_121m,5.062279238700866
test_loss,quality,lower_is_better,10m,5501,mtp_121m,4.96822991847992
test_loss,quality,lower_is_better,10m,5501,moe_220m,4.947788066864014
test_loss,quality,lower_is_better,10m,5501,mla_moe_220m,5.0054989385604856
test_loss,quality,lower_is_better,10m,5501,v3_routing_220m,4.96031165599823
test_loss,quality,lower_is_better,10m,6173,dense_121m,4.986044526100159
test_loss,quality,lower_is_better,10m,6173,mla_121m,5.114432282447815
test_loss,quality,lower_is_better,10m,6173,mtp_121m,4.979006390571595
test_loss,quality,lower_is_better,10m,6173,moe_220m,4.94702100276947
test_loss,quality,lower_is_better,10m,6173,mla_moe_220m,4.9624495029449465
test_loss,quality,lower_is_better,10m,6173,v3_routing_220m,4.961460537910462
test_loss,quality,lower_is_better,10m,8191,dense_121m,4.997298421859742
test_loss,quality,lower_is_better,10m,8191,mla_121m,5.0691881322860715
test_loss,quality,lower_is_better,10m,8191,mtp_121m,4.975269618034363
test_loss,quality,lower_is_better,10m,8191,moe_220m,4.951770820617676
test_loss,quality,lower_is_better,10m,8191,mla_moe_220m,4.988126230239868
test_loss,quality,lower_is_better,10m,8191,v3_routing_220m,4.957535381317139
test_loss,quality,lower_is_better,10m,10007,dense_121m,4.990591192245484
test_loss,quality,lower_is_better,10m,10007,mla_121m,5.043753395080566
test_loss,quality,lower_is_better,10m,10007,mtp_121m,4.9982624340057376
test_loss,quality,lower_is_better,10m,10007,moe_220m,4.937734346389771
test_loss,quality,lower_is_better,10m,10007,mla_moe_220m,5.0032300806045535
test_loss,quality,lower_is_better,10m,10007,v3_routing_220m,4.946623644828796
test_loss,quality,lower_is_better,10m,11213,dense_121m,5.013829193115234
test_loss,quality,lower_is_better,10m,11213,mla_121m,5.026043920516968
test_loss,quality,lower_is_better,10m,11213,mtp_121m,5.012810754776001
test_loss,quality,lower_is_better,10m,11213,moe_220m,4.935662884712219
test_loss,quality,lower_is_better,10m,11213,mla_moe_220m,5.0375270175933835
test_loss,quality,lower_is_better,10m,11213,v3_routing_220m,4.951768755912781
test_loss,quality,lower_is_better,10m,12721,dense_121m,5.019692482948304
test_loss,quality,lower_is_better,10m,12721,mla_121m,5.0553870153427125
test_loss,quality,lower_is_better,10m,12721,mtp_121m,4.997881088256836
test_loss,quality,lower_is_better,10m,12721,moe_220m,4.920693316459656
test_loss,quality,lower_is_better,10m,12721,mla_moe_220m,5.02160578250885
test_loss,quality,lower_is_better,10m,12721,v3_routing_220m,4.962845268249512
test_loss,quality,lower_is_better,25m,1337,dense_121m,4.559668226242065
test_loss,quality,lower_is_better,25m,1337,mla_121m,4.596735014915466
test_loss,quality,lower_is_better,25m,1337,mtp_121m,4.548240580558777
test_loss,quality,lower_is_better,25m,1337,moe_220m,4.557487230300904
test_loss,quality,lower_is_better,25m,1337,mla_moe_220m,4.571116642951965
test_loss,quality,lower_is_better,25m,1337,v3_routing_220m,4.533169131278992
