metric,metric_group,metric_direction,budget,seed,contrast_id,contrast_family,model_a,model_b,model_a_value,model_b_value,difference_model_b_minus_model_a,model_b_better
validation_loss,quality,lower_is_better,10m,10007,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,4.97149151802063,4.974135565757751,0.0026440477371210136,False
validation_loss,quality,lower_is_better,10m,11213,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,4.960887570381164,4.970754518508911,0.009866948127746689,False
validation_loss,quality,lower_is_better,10m,12721,v3_routing_vs_moe,routing_mechanism,moe_220m,v3_routing_220m,4.956976222991943,5.006309819221497,0.04933359622955358,False
validation_loss,quality,lower_is_better,10m,1337,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.010542912483215,5.009670815467834,-0.0008720970153808238,True
validation_loss,quality,lower_is_better,10m,2027,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.03985182762146,5.045757584571838,0.005905756950378205,False
validation_loss,quality,lower_is_better,10m,31415,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.002737498283386,5.054121799468994,0.05138430118560855,False
validation_loss,quality,lower_is_better,10m,4441,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.00126169204712,5.029954085350036,0.02869239330291684,False
validation_loss,quality,lower_is_better,10m,5501,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.028018565177917,4.991040110588074,-0.0369784545898435,True
validation_loss,quality,lower_is_better,10m,6173,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.023905034065247,5.011355180740356,-0.01254985332489067,True
validation_loss,quality,lower_is_better,10m,8191,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.010300731658935,4.989459028244019,-0.020841703414916424,True
validation_loss,quality,lower_is_better,10m,10007,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.021801533699036,5.025440711975097,0.0036391782760611946,False
validation_loss,quality,lower_is_better,10m,11213,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.039705038070679,5.035873055458069,-0.0038319826126098633,True
validation_loss,quality,lower_is_better,10m,12721,mtp_vs_dense,objective_mechanism,dense_121m,mtp_121m,5.049073481559754,5.028060746192932,-0.021012735366821467,True
validation_loss,quality,lower_is_better,25m,1337,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.591437788009643,4.636013627052307,0.04457583904266382,False
validation_loss,quality,lower_is_better,25m,2027,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.598965830802918,4.638378939628601,0.039413108825683274,False
validation_loss,quality,lower_is_better,25m,31415,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.585212154388428,4.641139874458313,0.05592772006988511,False
validation_loss,quality,lower_is_better,25m,4441,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.591076664924621,4.620917696952819,0.0298410320281981,False
validation_loss,quality,lower_is_better,25m,5501,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.591331214904785,4.640361032485962,0.04902981758117697,False
validation_loss,quality,lower_is_better,25m,6173,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.6034186697006225,4.675508689880371,0.07209002017974875,False
validation_loss,quality,lower_is_better,25m,8191,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.596622920036316,4.6468532228469845,0.05023030281066898,False
validation_loss,quality,lower_is_better,25m,10007,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.595331959724426,4.645402798652649,0.05007083892822273,False
validation_loss,quality,lower_is_better,25m,11213,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.5933767557144165,4.61867467880249,0.02529792308807366,False
validation_loss,quality,lower_is_better,25m,12721,mla_vs_dense,attention_mechanism,dense_121m,mla_121m,4.621394553184509,4.6554359483718875,0.03404139518737814,False
validation_loss,quality,lower_is_better,25m,1337,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,4.591437788009643,4.597828526496887,0.006390738487243475,False
validation_loss,quality,lower_is_better,25m,2027,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,4.598965830802918,4.554027361869812,-0.044938468933105824,True
validation_loss,quality,lower_is_better,25m,31415,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,4.585212154388428,4.563076300621033,-0.02213585376739502,True
validation_loss,quality,lower_is_better,25m,4441,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,4.591076664924621,4.581375322341919,-0.009701342582702388,True
validation_loss,quality,lower_is_better,25m,5501,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,4.591331214904785,4.5742539167404175,-0.017077298164367427,True
validation_loss,quality,lower_is_better,25m,6173,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,4.6034186697006225,4.588406610488891,-0.0150120592117311,True
validation_loss,quality,lower_is_better,25m,8191,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,4.596622920036316,4.5880322265625,-0.008590693473815136,True
validation_loss,quality,lower_is_better,25m,10007,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,4.595331959724426,4.571568922996521,-0.023763036727904918,True
validation_loss,quality,lower_is_better,25m,11213,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,4.5933767557144165,4.557565808296204,-0.03581094741821289,True
validation_loss,quality,lower_is_better,25m,12721,moe_vs_dense,sparse_ffn_mechanism,dense_121m,moe_220m,4.621394553184509,4.563816108703613,-0.057578444480895996,True
validation_loss,quality,lower_is_better,25m,1337,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,4.591437788009643,4.605242600440979,0.013804812431335911,False
validation_loss,quality,lower_is_better,25m,2027,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,4.598965830802918,4.615014266967774,0.01604843616485585,False
validation_loss,quality,lower_is_better,25m,31415,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,4.585212154388428,4.621018161773682,0.03580600738525419,False
validation_loss,quality,lower_is_better,25m,4441,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,4.591076664924621,4.610363845825195,0.019287180900573908,False
validation_loss,quality,lower_is_better,25m,5501,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,4.591331214904785,4.613008084297181,0.02167686939239566,False
validation_loss,quality,lower_is_better,25m,6173,mla_moe_vs_dense,composition_supporting,dense_121m,mla_moe_220m,4.6034186697006225,4.610475754737854,0.007057085037231126,False
